state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,HV,REPUBLICAN,SANDY SMITH,109
NORTH CAROLINA,1,IW,DEMOCRAT,G K BUTTERFIELD,55
NORTH CAROLINA,1,IW,REPUBLICAN,SANDY SMITH,9
NORTH CAROLINA,1,J,DEMOCRAT,G K BUTTERFIELD,97
NORTH CAROLINA,1,J,REPUBLICAN,SANDY SMITH,355
NORTH CAROLINA,1,JARE,DEMOCRAT,G K BUTTERFIELD,44
NORTH CAROLINA,1,JARE,REPUBLICAN,SANDY SMITH,43
NORTH CAROLINA,1,KITT,DEMOCRAT,G K BUTTERFIELD,974
NORTH CAROLINA,1,KITT,REPUBLICAN,SANDY SMITH,1164
NORTH CAROLINA,1,LAKE G,DEMOCRAT,G K BUTTERFIELD,98
NORTH CAROLINA,1,LAKE G,REPUBLICAN,SANDY SMITH,152
NORTH CAROLINA,1,LASKER,DEMOCRAT,G K BUTTERFIELD,7
NORTH CAROLINA,1,LASKER,REPUBLICAN,SANDY SMITH,76
NORTH CAROLINA,1,LIT,DEMOCRAT,G K BUTTERFIELD,226
NORTH CAROLINA,1,LIT,REPUBLICAN,SANDY SMITH,310
NORTH CAROLINA,1,LM,DEMOCRAT,G K BUTTERFIELD,98
NORTH CAROLINA,1,LM,REPUBLICAN,SANDY SMITH,69
NORTH CAROLINA,1,M1,DEMOCRAT,G K BUTTERFIELD,197
NORTH CAROLINA,1,M1,REPUBLICAN,SANDY SMITH,203
NORTH CAROLINA,1,M2,DEMOCRAT,G K BUTTERFIELD,166
NORTH CAROLINA,1,M2,REPUBLICAN,SANDY SMITH,152
NORTH CAROLINA,1,MAUR,DEMOCRAT,G K BUTTERFIELD,566
NORTH CAROLINA,1,MAUR,REPUBLICAN,SANDY SMITH,692
NORTH CAROLINA,1,MH,DEMOCRAT,G K BUTTERFIELD,47
NORTH CAROLINA,1,MH,REPUBLICAN,SANDY SMITH,76
NORTH CAROLINA,1,MIDD,DEMOCRAT,G K BUTTERFIELD,1198
NORTH CAROLINA,1,MIDD,REPUBLICAN,SANDY SMITH,934
NORTH CAROLINA,1,ML,DEMOCRAT,G K BUTTERFIELD,20
NORTH CAROLINA,1,ML,REPUBLICAN,SANDY SMITH,175
NORTH CAROLINA,1,MT. PLEASANT OS,DEMOCRAT,G K BUTTERFIELD,1621
NORTH CAROLINA,1,MT. PLEASANT OS,REPUBLICAN,SANDY SMITH,3209
NORTH CAROLINA,1,MURFREE CNTR,DEMOCRAT,G K BUTTERFIELD,1681
NORTH CAROLINA,1,MURFREE CNTR,REPUBLICAN,SANDY SMITH,704
NORTH CAROLINA,1,NASHVILLE OS,DEMOCRAT,G K BUTTERFIELD,7092
NORTH CAROLINA,1,NASHVILLE OS,REPUBLICAN,SANDY SMITH,11037
NORTH CAROLINA,1,NEWTOW,DEMOCRAT,G K BUTTERFIELD,44
NORTH CAROLINA,1,NEWTOW,REPUBLICAN,SANDY SMITH,134
NORTH CAROLINA,1,NH,DEMOCRAT,G K BUTTERFIELD,1435
NORTH CAROLINA,1,NH,REPUBLICAN,SANDY SMITH,1083
NORTH CAROLINA,1,NH1,DEMOCRAT,G K BUTTERFIELD,1040
NORTH CAROLINA,1,NH1,REPUBLICAN,SANDY SMITH,122
NORTH CAROLINA,1,NV,DEMOCRAT,G K BUTTERFIELD,694
NORTH CAROLINA,1,NV,REPUBLICAN,SANDY SMITH,330
NORTH CAROLINA,1,ONE STOP,DEMOCRAT,G K BUTTERFIELD,2370
NORTH CAROLINA,1,ONE STOP,REPUBLICAN,SANDY SMITH,1865
NORTH CAROLINA,1,ONE STOP CBR,DEMOCRAT,G K BUTTERFIELD,2803
NORTH CAROLINA,1,ONE STOP CBR,REPUBLICAN,SANDY SMITH,3021
NORTH CAROLINA,1,ONE STOP EES,DEMOCRAT,G K BUTTERFIELD,1297
NORTH CAROLINA,1,ONE STOP EES,REPUBLICAN,SANDY SMITH,576
NORTH CAROLINA,1,OS AG CENTER,DEMOCRAT,G K BUTTERFIELD,3823
NORTH CAROLINA,1,OS AG CENTER,REPUBLICAN,SANDY SMITH,2655
NORTH CAROLINA,1,OS BCR,DEMOCRAT,G K BUTTERFIELD,4189
NORTH CAROLINA,1,OS BCR,REPUBLICAN,SANDY SMITH,503
NORTH CAROLINA,1,OS COMM SCHOOLS,DEMOCRAT,G K BUTTERFIELD,2023
NORTH CAROLINA,1,OS COMM SCHOOLS,REPUBLICAN,SANDY SMITH,2430
NORTH CAROLINA,1,OS EPPES,DEMOCRAT,G K BUTTERFIELD,5083
NORTH CAROLINA,1,OS EPPES,REPUBLICAN,SANDY SMITH,522
NORTH CAROLINA,1,OS FARMVILLE,DEMOCRAT,G K BUTTERFIELD,1996
NORTH CAROLINA,1,OS FARMVILLE,REPUBLICAN,SANDY SMITH,2030
