state,district1,district2,district3,precinct,party,candidate,votes
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 44,DEMOCRAT,ROGER POLACK,272
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 44,REPUBLICAN,BRYAN STEIL,273
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 45,DEMOCRAT,ROGER POLACK,247
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 45,REPUBLICAN,BRYAN STEIL,163
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 46,DEMOCRAT,ROGER POLACK,287
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 46,REPUBLICAN,BRYAN STEIL,116
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 47,DEMOCRAT,ROGER POLACK,137
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 47,REPUBLICAN,BRYAN STEIL,104
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 48,DEMOCRAT,ROGER POLACK,206
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 48,REPUBLICAN,BRYAN STEIL,88
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 49,DEMOCRAT,ROGER POLACK,234
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 49,REPUBLICAN,BRYAN STEIL,162
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 5,DEMOCRAT,ROGER POLACK,289
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 5,REPUBLICAN,BRYAN STEIL,185
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 50,DEMOCRAT,ROGER POLACK,316
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 50,REPUBLICAN,BRYAN STEIL,201
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 51,DEMOCRAT,ROGER POLACK,204
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 51,REPUBLICAN,BRYAN STEIL,200
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 52,DEMOCRAT,ROGER POLACK,405
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 52,REPUBLICAN,BRYAN STEIL,302
WISCONSIN,1,1,1,CITY OF KENOSHA WARD 53,DEMOCRAT,ROGER POLACK,126
