state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,720141,REPUBLICAN,KEVIN HERN,665
OKLAHOMA,1,1,720142,DEMOCRAT,KOJO ASAMOA-CAESAR,90
OKLAHOMA,1,1,720142,REPUBLICAN,KEVIN HERN,516
OKLAHOMA,1,1,720143,DEMOCRAT,KOJO ASAMOA-CAESAR,144
OKLAHOMA,1,1,720143,REPUBLICAN,KEVIN HERN,418
OKLAHOMA,1,1,720144,DEMOCRAT,KOJO ASAMOA-CAESAR,381
OKLAHOMA,1,1,720144,REPUBLICAN,KEVIN HERN,785
OKLAHOMA,1,1,720145,DEMOCRAT,KOJO ASAMOA-CAESAR,216
OKLAHOMA,1,1,720145,REPUBLICAN,KEVIN HERN,920
OKLAHOMA,1,1,720146,DEMOCRAT,KOJO ASAMOA-CAESAR,202
OKLAHOMA,1,1,720146,REPUBLICAN,KEVIN HERN,596
OKLAHOMA,1,1,720147,DEMOCRAT,KOJO ASAMOA-CAESAR,176
OKLAHOMA,1,1,720147,REPUBLICAN,KEVIN HERN,111
OKLAHOMA,1,1,720148,DEMOCRAT,KOJO ASAMOA-CAESAR,160
OKLAHOMA,1,1,720148,REPUBLICAN,KEVIN HERN,360
OKLAHOMA,1,1,720149,DEMOCRAT,KOJO ASAMOA-CAESAR,128
OKLAHOMA,1,1,720149,REPUBLICAN,KEVIN HERN,325
OKLAHOMA,1,1,720150,DEMOCRAT,KOJO ASAMOA-CAESAR,347
OKLAHOMA,1,1,720150,REPUBLICAN,KEVIN HERN,1568
OKLAHOMA,1,1,720151,DEMOCRAT,KOJO ASAMOA-CAESAR,102
OKLAHOMA,1,1,720151,REPUBLICAN,KEVIN HERN,245
OKLAHOMA,1,1,720152,DEMOCRAT,KOJO ASAMOA-CAESAR,268
OKLAHOMA,1,1,720152,REPUBLICAN,KEVIN HERN,911
OKLAHOMA,1,1,720153,DEMOCRAT,KOJO ASAMOA-CAESAR,201
OKLAHOMA,1,1,720153,REPUBLICAN,KEVIN HERN,746
OKLAHOMA,1,1,720154,DEMOCRAT,KOJO ASAMOA-CAESAR,266
OKLAHOMA,1,1,720154,REPUBLICAN,KEVIN HERN,803
OKLAHOMA,1,1,720155,DEMOCRAT,KOJO ASAMOA-CAESAR,272
OKLAHOMA,1,1,720155,REPUBLICAN,KEVIN HERN,1344
OKLAHOMA,1,1,720156,DEMOCRAT,KOJO ASAMOA-CAESAR,204
OKLAHOMA,1,1,720156,REPUBLICAN,KEVIN HERN,233
OKLAHOMA,1,1,720157,DEMOCRAT,KOJO ASAMOA-CAESAR,249
OKLAHOMA,1,1,720157,REPUBLICAN,KEVIN HERN,1218
OKLAHOMA,1,1,720158,DEMOCRAT,KOJO ASAMOA-CAESAR,185
OKLAHOMA,1,1,720158,REPUBLICAN,KEVIN HERN,603
OKLAHOMA,1,1,720159,DEMOCRAT,KOJO ASAMOA-CAESAR,236
OKLAHOMA,1,1,720159,REPUBLICAN,KEVIN HERN,640
OKLAHOMA,1,1,720160,DEMOCRAT,KOJO ASAMOA-CAESAR,407
OKLAHOMA,1,1,720160,REPUBLICAN,KEVIN HERN,574
OKLAHOMA,1,1,720161,DEMOCRAT,KOJO ASAMOA-CAESAR,258
OKLAHOMA,1,1,720161,REPUBLICAN,KEVIN HERN,190
OKLAHOMA,1,1,720162,DEMOCRAT,KOJO ASAMOA-CAESAR,35
OKLAHOMA,1,1,720162,REPUBLICAN,KEVIN HERN,96
